Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantSolverTime,z3constraintSolverTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5checkSatTotalTime,toolTimecvc5,z3wpTime,cvc5wpTime,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
sequentialWhileLoops_1.pgcl,1,0.017721176147460938,0.00011396408081054688,0.0002601146697998047,0.00013899803161621094,Sat,0.02637314796447754,0.017367124557495117,0.019176959991455078,0.005939006805419922,0.02550506591796875,0.08748054504394531,Sat,0.0073130130767822266,0.003325223922729492,0.010015010833740234,0.002176046371459961,0.012269258499145508,0.04114270210266113,0.01942610740661621,0.010061264038085938,False,False,True,True
sequentialWhileLoops_2.pgcl,2,0.009629011154174805,7.295608520507812e-05,0.00047206878662109375,0.0002880096435546875,Unsat,0.02483201026916504,0.022351980209350586,0.036547183990478516,0.0031957626342773438,0.03986001014709473,0.09750699996948242,Unsat,0.015644073486328125,0.007814168930053711,0.0204770565032959,0.0023407936096191406,0.022925853729248047,0.05684709548950195,0.036628007888793945,0.020553112030029297,False,False,True,True
sequentialWhileLoops_3.pgcl,3,0.021629810333251953,0.00017261505126953125,0.004975080490112305,0.005220890045166016,Unsat,0.04910898208618164,0.03398704528808594,0.0962982177734375,0.04123497009277344,0.13888001441955566,0.2539796829223633,Unsat,0.05188417434692383,0.020058155059814453,0.031227827072143555,0.002485990524291992,0.03383612632751465,0.13778209686279297,0.09644007682800293,0.03131818771362305,False,False,True,True
sequentialWhileLoops_4.pgcl,4,0.019205808639526367,0.00017213821411132812,0.003309011459350586,0.0019011497497558594,Unsat,0.058023929595947266,0.04022717475891113,0.08673834800720215,0.0029349327087402344,0.09002304077148438,0.21286511421203613,Unsat,0.0974740982055664,0.043321847915649414,0.03461003303527832,0.0021250247955322266,0.03689408302307129,0.20228099822998047,0.0869300365447998,0.03473615646362305,False,False,True,True
sequentialWhileLoops_5.pgcl,5,0.016323089599609375,0.00015115737915039062,0.004045009613037109,0.002516031265258789,Unsat,0.12733793258666992,0.1515352725982666,0.17219305038452148,0.011109113693237305,0.18376779556274414,0.48567724227905273,Unsat,0.22825193405151367,0.06265783309936523,0.04523921012878418,0.0028820037841796875,0.04841184616088867,0.36235785484313965,0.17238497734069824,0.04540395736694336,False,False,True,True
sequentialWhileLoops_6.pgcl,6,0.03768324851989746,0.000270843505859375,0.01929497718811035,0.01314091682434082,Unsat,0.4531552791595459,0.12086987495422363,0.191481351852417,0.006876945495605469,0.1987171173095703,0.8431363105773926,Unsat,0.39566588401794434,0.4684920310974121,0.06877946853637695,0.0024399757385253906,0.07164311408996582,1.006195068359375,0.1917102336883545,0.06901407241821289,False,False,True,True
sequentialWhileLoops_7.pgcl,7,0.020097017288208008,0.0003440380096435547,0.02809000015258789,0.011449098587036133,Sat,0.4926750659942627,0.566641092300415,0.19023561477661133,0.002568960189819336,0.1932528018951416,1.3125548362731934,Sat,0.9428679943084717,0.4902799129486084,0.2600710391998291,0.003036975860595703,0.276806116104126,1.76993989944458,0.1905219554901123,0.2603178024291992,False,False,True,True
sequentialWhileLoops_8.pgcl,8,0.03700709342956543,0.00034165382385253906,0.05710792541503906,0.04603695869445801,Sat,1.5914578437805176,0.7040958404541016,0.2758793830871582,0.0073511600494384766,0.28435802459716797,2.7204105854034424,Sat,3.3060667514801025,0.5811381340026855,0.13379549980163574,0.0020160675048828125,0.13619780540466309,4.1639015674591064,0.2762107849121094,0.13405275344848633,False,False,True,True
sequentialWhileLoops_9.pgcl,9,0.023396015167236328,0.00025200843811035156,0.054502010345458984,0.03456592559814453,Sat,1.580993890762329,0.9089460372924805,0.17323827743530273,0.0030252933502197266,0.1768350601196289,2.779496908187866,Sat,6.28763222694397,2.9261910915374756,6.875723361968994,0.002086162567138672,6.8782782554626465,16.20482349395752,0.17351603507995605,6.875985145568848,False,False,True,True
sequentialWhileLoops_10.pgcl,10,0.028399229049682617,0.0002837181091308594,0.12475395202636719,0.8181352615356445,Sat,3.6428418159484863,3.0116989612579346,0.2996969223022461,0.003734111785888672,0.30408430099487305,7.930202960968018,Sat,10.697394847869873,3.660928964614868,0.09592700004577637,0.002869844436645508,0.09933686256408691,15.429238557815552,0.3001561164855957,0.09627795219421387,False,False,True,True
sequentialWhileLoops_11.pgcl,11,0.02396082878112793,0.0003058910369873047,0.3959789276123047,0.27753305435180664,Unsat,6.716202020645142,3.513695001602173,0.19851016998291016,0.002810955047607422,0.20184922218322754,11.129528999328613,Unsat,17.040465116500854,3.895123243331909,0.08535885810852051,0.0023620128631591797,0.08820390701293945,21.721575021743774,0.19886112213134766,0.08567190170288086,False,False,True,True
sequentialWhileLoops_12.pgcl,12,0.028859853744506836,0.000331878662109375,0.7887818813323975,0.4787158966064453,Sat,13.157030820846558,6.864680051803589,0.2097475528717041,0.0030679702758789062,0.2139120101928711,21.53231906890869,Sat,30.0557701587677,7.887808084487915,0.09262299537658691,0.002064228057861328,0.09522509574890137,39.33549952507019,0.2102510929107666,0.0929710865020752,False,False,True,True
