Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
simpleWhile_1.pgcl,1,0.023430824279785156,0.0008020401000976562,0.0,0.0,0.0015079975128173828,Sat,0.0,0.0,0.34792590141296387,0.34787511825561523,0.018948078155517578,1.1920928955078125e-05,0.36711597442626953,0.39286017417907715,Sat,0.0,0.0,0.13065314292907715,0.13063287734985352,0.010938167572021484,3.814697265625e-06,0.14162826538085938,0.167372465133667,False,False,False,False
simpleWhile_2.pgcl,2,0.004127025604248047,3.790855407714844e-05,0.0,0.0,7.915496826171875e-05,Sat,0.0,0.0,0.03572702407836914,0.03571200370788574,0.018794775009155273,3.0994415283203125e-06,0.0545651912689209,0.05880928039550781,Sat,0.0,0.0,0.07490301132202148,0.07487988471984863,0.009198188781738281,3.0994415283203125e-06,0.08454203605651855,0.08878612518310547,False,False,False,False
simpleWhile_3.pgcl,3,0.008774995803833008,6.604194641113281e-05,0.0,0.0,0.00011610984802246094,Sat,0.0,0.0,0.025877952575683594,0.025856971740722656,0.018249034881591797,4.0531158447265625e-06,0.04417896270751953,0.05313897132873535,Sat,0.0,0.0,0.09025979042053223,0.09022903442382812,0.0064411163330078125,1.5974044799804688e-05,0.09675002098083496,0.10571002960205078,False,False,False,False
simpleWhile_4.pgcl,4,0.010684967041015625,3.886222839355469e-05,0.0,0.0,6.723403930664062e-05,Sat,0.0,0.0,0.02237725257873535,0.02236199378967285,0.01194000244140625,2.86102294921875e-06,0.03445601463317871,0.04524803161621094,Sat,0.0,0.0,0.07718300819396973,0.07715988159179688,0.005223989486694336,3.0994415283203125e-06,0.08243989944458008,0.0932319164276123,False,False,False,False
simpleWhile_5.pgcl,5,0.0058019161224365234,3.600120544433594e-05,0.0,0.0,6.4849853515625e-05,Sat,0.0,0.0,0.01888108253479004,0.018867015838623047,0.014405012130737305,2.86102294921875e-06,0.03332400321960449,0.03922891616821289,Sat,0.0,0.0,0.053047895431518555,0.05302715301513672,0.004496097564697266,2.86102294921875e-06,0.05758094787597656,0.06348586082458496,False,False,False,False
simpleWhile_6.pgcl,6,0.0039501190185546875,3.4809112548828125e-05,0.0,0.0,6.103515625e-05,Sat,0.0,0.0,0.023606061935424805,0.023591995239257812,0.015505313873291016,3.0994415283203125e-06,0.03945302963256836,0.043501853942871094,Sat,0.0,0.0,0.08010601997375488,0.080078125,0.005096912384033203,3.0994415283203125e-06,0.08523797988891602,0.08928680419921875,False,False,False,False
