Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantSolverTime,z3constraintSolverTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5checkSatTotalTime,toolTimecvc5,z3wpTime,cvc5wpTime,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
whileLoops_151.pgcl,151,0.4869868755340576,0.008363962173461914,0.0,0.0,Unsat,0.0,0.0,4.534557819366455,0.005059719085693359,4.550851821899414,5.046205520629883,Unsat,0.0,0.0,2.732224941253662,0.0028276443481445312,2.743166923522949,3.238520622253418,4.54459810256958,2.740139961242676,False,False,False,False
whileLoops_152.pgcl,152,0.5221052169799805,0.008225202560424805,0.0,0.0,Sat,0.0,0.0,3.2300968170166016,0.0027866363525390625,3.2398200035095215,3.7701539993286133,Sat,0.0,0.0,2.9902422428131104,0.00431513786315918,3.0021398067474365,3.5324738025665283,3.236865997314453,2.9972527027130127,False,False,False,False
whileLoops_153.pgcl,153,0.33707308769226074,0.007302761077880859,0.0,0.0,Sat,0.0,0.0,3.398357391357422,0.002727985382080078,3.408485174179077,3.752864360809326,Sat,0.0,0.0,2.8840882778167725,0.003056049346923828,2.895174026489258,3.239553213119507,3.405569076538086,2.891983985900879,False,False,False,False
whileLoops_154.pgcl,154,0.29922986030578613,0.00845193862915039,0.0,0.0,Unsat,0.0,0.0,3.3005666732788086,0.003834962844848633,3.311846971511841,3.6195318698883057,Unsat,0.0,0.0,3.036888837814331,0.003094911575317383,3.047053098678589,3.3547379970550537,3.307870864868164,3.0438098907470703,False,False,False,False
whileLoops_155.pgcl,155,0.32150983810424805,0.007918119430541992,0.0,0.0,Unsat,0.0,0.0,3.2710583209991455,0.002827167510986328,3.2814528942108154,3.61088490486145,Unsat,0.0,0.0,2.7860124111175537,0.003165006637573242,2.796220064163208,3.1256520748138428,3.278425931930542,2.792908191680908,False,False,False,False
whileLoops_156.pgcl,156,0.4181399345397949,0.008116960525512695,0.0,0.0,Sat,0.0,0.0,3.99111270904541,0.0031290054321289062,4.001989841461182,4.428249835968018,Sat,0.0,0.0,2.8935422897338867,0.002683877944946289,2.9030659198760986,3.3293259143829346,3.998715877532959,2.900209903717041,False,False,False,False
whileLoops_157.pgcl,157,0.3344919681549072,0.008298873901367188,0.0,0.0,Unsat,0.0,0.0,3.121476650238037,0.003100872039794922,3.1316559314727783,3.474453926086426,Unsat,0.0,0.0,3.134732961654663,0.05199480056762695,3.1943411827087402,3.5371391773223877,3.1284358501434326,3.1421921253204346,False,False,False,False
whileLoops_158.pgcl,158,0.3046867847442627,0.011727094650268555,0.0,0.0,Sat,0.0,0.0,3.3766140937805176,0.002725839614868164,3.3887388706207275,3.705155849456787,Sat,0.0,0.0,2.846982002258301,0.003692150115966797,2.8575379848480225,3.173954963684082,3.3858370780944824,2.8537089824676514,False,False,False,False
whileLoops_159.pgcl,159,0.4145078659057617,0.006883144378662109,0.0,0.0,Unsat,0.0,0.0,3.4056503772735596,0.0030379295349121094,3.416377067565918,3.8377699851989746,Unsat,0.0,0.0,3.078799247741699,0.0035500526428222656,3.0897700786590576,3.5111629962921143,3.4131650924682617,3.0860707759857178,False,False,False,False
whileLoops_160.pgcl,160,0.43021106719970703,0.010658979415893555,0.0,0.0,Sat,0.0,0.0,3.4428164958953857,0.004573822021484375,3.4550552368164062,3.8959314823150635,Sat,0.0,0.0,3.0531222820281982,0.002658843994140625,3.063457727432251,3.504333972930908,3.4503140449523926,3.060593843460083,False,False,False,False
whileLoops_161.pgcl,161,0.36279296875,0.005952119827270508,0.0,0.0,Sat,0.0,0.0,3.5323946475982666,0.003010988235473633,3.5433268547058105,3.9120748043060303,Sat,0.0,0.0,2.9228200912475586,0.0041201114654541016,2.934122085571289,3.302870035171509,3.540186882019043,2.9298367500305176,False,False,False,False
whileLoops_162.pgcl,162,0.4087691307067871,0.005721092224121094,0.0,0.0,Sat,0.0,0.0,3.3674867153167725,0.004148960113525391,3.3791940212249756,3.793687343597412,Sat,0.0,0.0,3.3167831897735596,0.004129886627197266,3.328540086746216,3.7430334091186523,3.374872922897339,3.324270009994507,False,False,False,False
whileLoops_163.pgcl,163,0.33399105072021484,0.006705045700073242,0.0,0.0,Unsat,0.0,0.0,3.4428279399871826,0.003874063491821289,3.454251766204834,3.7949507236480713,Unsat,0.0,0.0,3.1368346214294434,0.002959012985229492,3.1470518112182617,3.487750768661499,3.450205087661743,3.1439149379730225,False,False,False,False
whileLoops_164.pgcl,164,0.46050095558166504,0.005948305130004883,0.0,0.0,Sat,0.0,0.0,3.6306211948394775,0.0066738128662109375,3.6454038619995117,4.111855983734131,Sat,0.0,0.0,3.1890623569488525,0.00323486328125,3.2001469135284424,3.6665990352630615,3.638542652130127,3.1967339515686035,False,False,False,False
whileLoops_165.pgcl,165,0.4298717975616455,0.0061283111572265625,0.0,0.0,Sat,0.0,0.0,3.780315637588501,0.0031447410583496094,3.791356086730957,4.227358102798462,Sat,0.0,0.0,3.1532435417175293,0.002593994140625,3.1635398864746094,3.5995419025421143,3.7880358695983887,3.1607820987701416,False,False,False,False
whileLoops_166.pgcl,166,0.32381486892700195,0.009906768798828125,0.0,0.0,Sat,0.0,0.0,3.789672374725342,0.0027768611907958984,3.8007900714874268,4.134516954421997,Sat,0.0,0.0,3.1801092624664307,0.0028069019317626953,3.191495895385742,3.5252227783203125,3.7978031635284424,3.188520908355713,False,False,False,False
whileLoops_167.pgcl,167,0.4941859245300293,0.005518198013305664,0.0,0.0,Sat,0.0,0.0,3.462153673171997,0.003905057907104492,3.474242925643921,3.973949909210205,Sat,0.0,0.0,3.1494414806365967,0.0033338069915771484,3.1604528427124023,3.6601598262786865,3.469527244567871,3.1569390296936035,False,False,False,False
whileLoops_168.pgcl,168,0.40439295768737793,0.008055925369262695,0.0,0.0,Sat,0.0,0.0,4.171145915985107,0.0028290748596191406,4.183061122894287,4.595512866973877,Sat,0.0,0.0,3.9519107341766357,0.004094123840332031,3.964979887008667,4.377431631088257,4.180011987686157,3.9607057571411133,False,False,False,False
whileLoops_169.pgcl,169,0.4187891483306885,0.009802818298339844,0.0,0.0,Sat,0.0,0.0,3.82336163520813,0.0028159618377685547,3.8343029022216797,4.262899875640869,Sat,0.0,0.0,3.344165802001953,0.0033218860626220703,3.3553268909454346,3.783923864364624,3.831326961517334,3.3518478870391846,False,False,False,False
whileLoops_170.pgcl,170,0.36630868911743164,0.006325960159301758,0.0,0.0,Sat,0.0,0.0,3.7263565063476562,0.0027778148651123047,3.7373299598693848,4.109968900680542,Sat,0.0,0.0,3.3297171592712402,0.003072023391723633,3.340665102005005,3.713304042816162,3.7343790531158447,3.3373970985412598,False,False,False,False
whileLoops_171.pgcl,171,0.44997715950012207,0.007009744644165039,0.0,0.0,Sat,0.0,0.0,3.569064140319824,0.0029599666595458984,3.5798819065093994,4.03687596321106,Sat,0.0,0.0,3.2126073837280273,0.002849102020263672,3.2232439517974854,3.6802380084991455,3.5767548084259033,3.220221996307373,False,False,False,False
whileLoops_172.pgcl,172,0.33979010581970215,0.00752711296081543,0.0,0.0,Unsat,0.0,0.0,3.661409854888916,0.0034072399139404297,3.6727051734924316,4.020025253295898,Unsat,0.0,0.0,3.312246799468994,0.0029168128967285156,3.3232078552246094,3.670527935028076,3.6691410541534424,3.3200790882110596,False,False,False,False
whileLoops_173.pgcl,173,0.33986783027648926,0.0058629512786865234,0.0,0.0,Sat,0.0,0.0,3.739278554916382,0.0035979747772216797,3.7516562938690186,4.097388982772827,Sat,0.0,0.0,3.2455520629882812,0.003437042236328125,3.2568588256835938,3.6025915145874023,3.747641086578369,3.2532827854156494,False,False,False,False
whileLoops_174.pgcl,174,0.4374830722808838,0.0056612491607666016,0.0,0.0,Sat,0.0,0.0,3.7132928371429443,0.0034220218658447266,3.724686861038208,4.167832851409912,Sat,0.0,0.0,3.3795580863952637,0.002874135971069336,3.3912150859832764,3.8343610763549805,3.721096992492676,3.3881819248199463,False,False,False,False
whileLoops_175.pgcl,175,0.33675384521484375,0.007993221282958984,0.0,0.0,Unsat,0.0,0.0,3.773608446121216,0.003147125244140625,3.784837007522583,4.129586935043335,Unsat,0.0,0.0,3.3324713706970215,0.0030541419982910156,3.3436241149902344,3.6883740425109863,3.7815139293670654,3.3404018878936768,False,False,False,False
whileLoops_176.pgcl,176,0.34477996826171875,0.0056476593017578125,0.0,0.0,Unsat,0.0,0.0,3.6741600036621094,0.0044209957122802734,3.686676025390625,4.037106990814209,Unsat,0.0,0.0,3.55191707611084,0.0028281211853027344,3.5628819465637207,3.9133129119873047,3.6821110248565674,3.559891939163208,False,False,False,False
whileLoops_177.pgcl,177,0.35774683952331543,0.007118940353393555,0.0,0.0,Unsat,0.0,0.0,3.9209113121032715,0.004127979278564453,3.9334158897399902,4.2982847690582275,Unsat,0.0,0.0,3.2882916927337646,0.0031197071075439453,3.2990899085998535,3.663958787918091,3.9291179180145264,3.295797824859619,False,False,False,False
whileLoops_178.pgcl,178,0.4593968391418457,0.006481170654296875,0.0,0.0,Sat,0.0,0.0,3.756004810333252,0.0030870437622070312,3.7674639225006104,4.233344793319702,Sat,0.0,0.0,3.566743850708008,0.002978801727294922,3.578052043914795,4.043932914733887,3.764204978942871,3.5748772621154785,False,False,False,False
whileLoops_179.pgcl,179,0.3672199249267578,0.0063588619232177734,0.0,0.0,Sat,0.0,0.0,3.7996270656585693,0.003930091857910156,3.812656879425049,4.186239004135132,Sat,0.0,0.0,3.443065881729126,0.002893209457397461,3.4545369148254395,3.8281190395355225,3.807821750640869,3.451474905014038,False,False,False,False
whileLoops_180.pgcl,180,0.3592660427093506,0.009853363037109375,0.0,0.0,Sat,0.0,0.0,3.8501625061035156,0.0028879642486572266,3.8615591526031494,4.2306811809539795,Sat,0.0,0.0,3.7427945137023926,0.004754781723022461,3.7559399604797363,4.125061988830566,3.858455181121826,3.7510290145874023,False,False,False,False
whileLoops_181.pgcl,181,0.5460081100463867,0.012125015258789062,0.0,0.0,Sat,0.0,0.0,4.060291528701782,0.0035431385040283203,4.0729570388793945,4.6310951709747314,Sat,0.0,0.0,3.417907238006592,0.0032012462615966797,3.4303929805755615,3.9885311126708984,4.069257974624634,3.4265758991241455,False,False,False,False
whileLoops_182.pgcl,182,0.3543868064880371,0.006176948547363281,0.0,0.0,Sat,0.0,0.0,3.8563449382781982,0.0047338008880615234,3.8696236610412598,4.230190753936768,Sat,0.0,0.0,3.4162747859954834,0.0027320384979248047,3.4271769523620605,3.7877440452575684,3.8646907806396484,3.424273729324341,False,False,False,False
whileLoops_183.pgcl,183,0.3640408515930176,0.006127834320068359,0.0,0.0,Unsat,0.0,0.0,3.972548246383667,0.004216194152832031,3.9853758811950684,4.355545520782471,Unsat,0.0,0.0,4.536579608917236,0.004461050033569336,4.55104398727417,4.921213626861572,3.980987787246704,4.546097993850708,False,False,False,False
whileLoops_184.pgcl,184,0.4825320243835449,0.010915756225585938,0.0,0.0,Sat,0.0,0.0,4.675079345703125,0.004403352737426758,4.689800977706909,5.183250904083252,Sat,0.0,0.0,3.8673715591430664,0.0034351348876953125,3.879826068878174,4.373275995254517,4.6852521896362305,3.8762152194976807,False,False,False,False
whileLoops_185.pgcl,185,0.4513709545135498,0.007200002670288086,0.0,0.0,Sat,0.0,0.0,3.9446446895599365,0.0034990310668945312,3.9564549922943115,4.415028810501099,Sat,0.0,0.0,3.3729987144470215,0.0030519962310791016,3.3842313289642334,3.8428051471710205,3.952815055847168,3.3810513019561768,False,False,False,False
whileLoops_186.pgcl,186,0.37365198135375977,0.0062808990478515625,0.0,0.0,Sat,0.0,0.0,4.025529384613037,0.002977132797241211,4.036967992782593,4.416903018951416,Sat,0.0,0.0,3.586811065673828,0.00492405891418457,3.600177049636841,3.980112075805664,4.033812999725342,3.595100164413452,False,False,False,False
whileLoops_187.pgcl,187,0.36388611793518066,0.006088972091674805,0.0,0.0,Sat,0.0,0.0,4.216010093688965,0.0032851696014404297,4.227987051010132,4.597964286804199,Sat,0.0,0.0,3.5143916606903076,0.003200054168701172,3.52639102935791,3.8963682651519775,4.224516868591309,3.5230557918548584,False,False,False,False
whileLoops_188.pgcl,188,0.4490396976470947,0.006801128387451172,0.0,0.0,Unsat,0.0,0.0,3.968092679977417,0.0036928653717041016,3.980006217956543,4.435849905014038,Unsat,0.0,0.0,3.736863136291504,0.002989053726196289,3.748918056488037,4.204761743545532,3.976137399673462,3.7457659244537354,False,False,False,False
whileLoops_189.pgcl,189,0.37328386306762695,0.006497859954833984,0.0,0.0,Sat,0.0,0.0,4.088132619857788,0.00426793098449707,4.102049112319946,4.481832981109619,Sat,0.0,0.0,3.6679270267486572,0.0034449100494384766,3.680310010910034,4.060093879699707,4.0972230434417725,3.6766860485076904,False,False,False,False
whileLoops_190.pgcl,190,0.345196008682251,0.0063629150390625,0.0,0.0,Sat,0.0,0.0,4.069908857345581,0.0027031898498535156,4.0812389850616455,4.432801008224487,Sat,0.0,0.0,3.4922783374786377,0.003077268600463867,3.503741979598999,3.855304002761841,4.0783398151397705,3.5004937648773193,False,False,False,False
whileLoops_191.pgcl,191,0.5035479068756104,0.010849237442016602,0.0,0.0,Sat,0.0,0.0,4.145491123199463,0.002942800521850586,4.157608985900879,4.672008752822876,Sat,0.0,0.0,3.6992669105529785,0.0036580562591552734,3.7120091915130615,4.226408958435059,4.1544880867004395,3.7081801891326904,False,False,False,False
whileLoops_192.pgcl,192,0.4040231704711914,0.0069561004638671875,0.0,0.0,Unsat,0.0,0.0,4.208034038543701,0.0031349658966064453,4.2199177742004395,4.630899906158447,Unsat,0.0,0.0,3.6565699577331543,0.0030188560485839844,3.6681270599365234,4.079109191894531,4.216606855392456,3.6649491786956787,False,False,False,False
whileLoops_193.pgcl,193,0.3537580966949463,0.006937980651855469,0.0,0.0,Sat,0.0,0.0,4.202903985977173,0.003947734832763672,4.215324878692627,4.576024770736694,Sat,0.0,0.0,4.972579479217529,0.003412961959838867,4.986833810806274,5.347533702850342,4.211127996444702,4.983093976974487,False,False,False,False
whileLoops_194.pgcl,194,0.4945247173309326,0.0072019100189208984,0.0,0.0,Unsat,0.0,0.0,5.085269927978516,0.0033922195434570312,5.098329067230225,5.600058078765869,Unsat,0.0,0.0,3.810667037963867,0.004236936569213867,3.8272461891174316,4.328975200653076,5.094736814498901,3.8200290203094482,False,False,False,False
whileLoops_195.pgcl,195,0.45807790756225586,0.01176595687866211,0.0,0.0,Unsat,0.0,0.0,4.677971839904785,0.0041506290435791016,4.691611051559448,5.161458253860474,Unsat,0.0,0.0,3.7691876888275146,0.004178762435913086,3.7820591926574707,4.251906394958496,4.687314033508301,3.7776992321014404,False,False,False,False
whileLoops_196.pgcl,196,0.38970494270324707,0.006274223327636719,0.0,0.0,Sat,0.0,0.0,4.203176259994507,0.0030341148376464844,4.215126037597656,4.611107110977173,Sat,0.0,0.0,3.6596763134002686,0.0026209354400634766,3.6718437671661377,4.067824840545654,4.211928844451904,3.6687188148498535,False,False,False,False
whileLoops_197.pgcl,197,0.49574804306030273,0.007756710052490234,0.0,0.0,Sat,0.0,0.0,4.16272497177124,0.0028328895568847656,4.174769163131714,4.678277015686035,Sat,0.0,0.0,3.874342679977417,0.0034258365631103516,3.886922836303711,4.390430688858032,4.171739101409912,3.8833250999450684,False,False,False,False
whileLoops_198.pgcl,198,0.4005110263824463,0.006414175033569336,0.0,0.0,Sat,0.0,0.0,4.272379398345947,0.003290891647338867,4.287142753601074,4.694069862365723,Sat,0.0,0.0,3.7702980041503906,0.0025839805603027344,3.781890869140625,4.188817977905273,4.283697843551636,3.7791388034820557,False,False,False,False
whileLoops_199.pgcl,199,0.4096870422363281,0.012801170349121094,0.0,0.0,Sat,0.0,0.0,4.4723756313323975,0.0029418468475341797,4.484695672988892,4.90718674659729,Sat,0.0,0.0,3.8956410884857178,0.002691030502319336,3.9073619842529297,4.329853057861328,4.481580018997192,3.9045040607452393,False,False,False,False
whileLoops_200.pgcl,200,0.48374009132385254,0.006620883941650391,0.0,0.0,Unsat,0.0,0.0,4.4145894050598145,0.0047757625579833984,4.428846836090088,4.919209957122803,Unsat,0.0,0.0,3.9359383583068848,0.0033740997314453125,3.948535203933716,4.438898324966431,4.42389988899231,3.9449801445007324,False,False,False,False
whileLoops_201.pgcl,201,0.3914449214935303,0.008744955062866211,0.0,0.0,Unsat,0.0,0.0,4.610040903091431,0.0037560462951660156,4.623462915420532,5.023655891418457,Unsat,0.0,0.0,3.887211322784424,0.0030269622802734375,3.8999109268188477,4.3001039028167725,4.619577884674072,3.896681070327759,False,False,False,False
whileLoops_202.pgcl,202,0.3852522373199463,0.006544828414916992,0.0,0.0,Sat,0.0,0.0,4.235955476760864,0.003068208694458008,4.248119115829468,4.639919281005859,Sat,0.0,0.0,3.8046319484710693,0.002638101577758789,3.816235065460205,4.208035230636597,4.244926929473877,3.813424825668335,False,False,False,False
whileLoops_203.pgcl,203,0.5703630447387695,0.01196599006652832,0.0,0.0,Unsat,0.0,0.0,4.116068601608276,0.0038208961486816406,4.129645824432373,4.711977958679199,Unsat,0.0,0.0,3.9874818325042725,0.003464937210083008,4.001010179519653,4.5833423137664795,4.125645637512207,3.9973580837249756,False,False,False,False
whileLoops_204.pgcl,204,0.4632430076599121,0.006975889205932617,0.0,0.0,Unsat,0.0,0.0,4.3846635818481445,0.0028569698333740234,4.3973228931427,4.867543935775757,Unsat,0.0,0.0,4.002517461776733,0.0035440921783447266,4.015926122665405,4.486147165298462,4.394299745559692,4.012264013290405,False,False,False,False
whileLoops_205.pgcl,205,0.40524888038635254,0.007047891616821289,0.0,0.0,Sat,0.0,0.0,4.33061408996582,0.0030939579010009766,4.343242168426514,4.755542278289795,Sat,0.0,0.0,3.9401893615722656,0.002521991729736328,3.9519476890563965,4.364247798919678,4.340019941329956,3.9492878913879395,False,False,False,False
whileLoops_206.pgcl,206,0.4930403232574463,0.008008956909179688,0.0,0.0,Unsat,0.0,0.0,4.337541580200195,0.002917051315307617,4.350128889083862,4.851181268692017,Unsat,0.0,0.0,3.8962106704711914,0.0030531883239746094,3.9082109928131104,4.409263372421265,4.347030878067017,3.904968023300171,False,False,False,False
whileLoops_207.pgcl,207,0.5171430110931396,0.007428884506225586,0.0,0.0,Sat,0.0,0.0,4.264822959899902,0.002991199493408203,4.277247190475464,4.801822185516357,Sat,0.0,0.0,4.001381158828735,0.002794981002807617,4.013298988342285,4.537873983383179,4.274057149887085,4.010341167449951,False,False,False,False
whileLoops_208.pgcl,208,0.39806222915649414,0.007349967956542969,0.0,0.0,Sat,0.0,0.0,4.367239236831665,0.003406047821044922,4.3805060386657715,4.785921096801758,Sat,0.0,0.0,4.053959369659424,0.002523183822631836,4.066488981246948,4.471904039382935,4.376922130584717,4.063814878463745,False,False,False,False
whileLoops_209.pgcl,209,0.584244966506958,0.007121086120605469,0.0,0.0,Sat,0.0,0.0,4.58536434173584,0.003023862838745117,4.598989009857178,5.19035792350769,Sat,0.0,0.0,4.545006036758423,0.0034079551696777344,4.5595011711120605,5.150870084762573,4.5957629680633545,4.555936098098755,False,False,False,False
whileLoops_210.pgcl,210,0.5013089179992676,0.010993003845214844,0.0,0.0,Sat,0.0,0.0,5.196893930435181,0.00412297248840332,5.211956262588501,5.724261045455933,Sat,0.0,0.0,4.806667327880859,0.0040090084075927734,4.821775197982788,5.33407998085022,5.2076921463012695,4.817618370056152,False,False,False,False
whileLoops_211.pgcl,211,0.49272704124450684,0.010041952133178711,0.0,0.0,Unsat,0.0,0.0,5.598917007446289,0.0030379295349121094,5.613554000854492,6.1163249015808105,Unsat,0.0,0.0,4.213891506195068,0.0028951168060302734,4.2263360023498535,4.729106903076172,5.6103339195251465,4.223268985748291,False,False,False,False
whileLoops_212.pgcl,212,0.5008180141448975,0.007674217224121094,0.0,0.0,Sat,0.0,0.0,4.4541916847229,0.003467082977294922,4.467617988586426,4.97611403465271,Sat,0.0,0.0,4.032352447509766,0.0027518272399902344,4.045321941375732,4.553817987442017,4.463986158370972,4.042412996292114,False,False,False,False
whileLoops_213.pgcl,213,0.4287240505218506,0.007357358932495117,0.0,0.0,Sat,0.0,0.0,4.485702753067017,0.003198862075805664,4.49908709526062,4.935171127319336,Sat,0.0,0.0,4.0600905418396,0.004185676574707031,4.07441782951355,4.510501861572266,4.495758056640625,4.070061922073364,False,False,False,False
