Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantSolverTime,z3constraintSolverTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5checkSatTotalTime,toolTimecvc5,z3wpTime,cvc5wpTime,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
whileLoops_1.pgcl,1,0.04655194282531738,0.00011086463928222656,0.0,0.0,Sat,0.0,0.0,0.036644935607910156,0.007145404815673828,0.04399275779724121,0.09065771102905273,Sat,0.0,0.0,0.019176006317138672,0.0038199424743652344,0.023149967193603516,0.06981492042541504,0.03684496879577637,0.019324779510498047,False,False,False,False
whileLoops_2.pgcl,2,0.01764392852783203,0.0001709461212158203,0.0,0.0,Sat,0.0,0.0,0.06920003890991211,0.005991220474243164,0.07537984848022461,0.09319686889648438,Sat,0.0,0.0,0.06491613388061523,0.0033218860626220703,0.06844782829284668,0.08626484870910645,0.06938290596008301,0.0651240348815918,False,False,False,False
whileLoops_3.pgcl,3,0.018449068069458008,0.00022602081298828125,0.0,0.0,Unsat,0.0,0.0,0.0875856876373291,0.003641843795776367,0.09148073196411133,0.11015772819519043,Unsat,0.0,0.0,0.04340791702270508,0.002382993698120117,0.04596590995788574,0.06464290618896484,0.08783674240112305,0.043580055236816406,False,False,False,False
whileLoops_4.pgcl,4,0.014962196350097656,0.00017976760864257812,0.0,0.0,Sat,0.0,0.0,0.07611870765686035,0.0027608871459960938,0.07911300659179688,0.09425735473632812,Sat,0.0,0.0,0.0574951171875,0.004040956497192383,0.061955928802490234,0.07710027694702148,0.07634902000427246,0.05791211128234863,False,False,False,False
whileLoops_5.pgcl,5,0.03632378578186035,0.0005590915679931641,0.0,0.0,Unsat,0.0,0.0,0.2088298797607422,0.004934072494506836,0.21413612365722656,0.2510209083557129,Unsat,0.0,0.0,0.10875916481018066,0.0033469200134277344,0.11240196228027344,0.14928674697875977,0.2091989517211914,0.10905194282531738,False,False,False,False
whileLoops_6.pgcl,6,0.02814173698425293,0.0005390644073486328,0.0,0.0,Sat,0.0,0.0,0.11806344985961914,0.0035190582275390625,0.12191915512084961,0.15060210227966309,Sat,0.0,0.0,0.08754539489746094,0.0029218196868896484,0.09079885482788086,0.11948180198669434,0.11839699745178223,0.0878746509552002,False,False,False,False
whileLoops_7.pgcl,7,0.0334620475769043,0.00049591064453125,0.0,0.0,Sat,0.0,0.0,0.24533867835998535,0.006314992904663086,0.2525918483734131,0.28655219078063965,Sat,0.0,0.0,0.10564017295837402,0.0023720264434814453,0.1084139347076416,0.14237427711486816,0.24627304077148438,0.10603904724121094,False,False,False,False
whileLoops_8.pgcl,8,0.026407718658447266,0.0007040500640869141,0.0,0.0,Sat,0.0,0.0,0.16024112701416016,0.0028290748596191406,0.16350102424621582,0.19061684608459473,Sat,0.0,0.0,0.14206361770629883,0.002496957778930664,0.145003080368042,0.1721189022064209,0.16066884994506836,0.142503023147583,False,False,False,False
whileLoops_9.pgcl,9,0.035343170166015625,0.0007321834564208984,0.0,0.0,Sat,0.0,0.0,0.25689101219177246,0.003751993179321289,0.26126909255981445,0.2973463535308838,Sat,0.0,0.0,0.16559553146362305,0.0024750232696533203,0.16894006729125977,0.2050173282623291,0.25751304626464844,0.16646337509155273,False,False,False,False
whileLoops_10.pgcl,10,0.030025959014892578,0.0003829002380371094,0.0,0.0,Sat,0.0,0.0,0.23706364631652832,0.0035729408264160156,0.2411642074584961,0.2715752124786377,Sat,0.0,0.0,0.18972158432006836,0.0023937225341796875,0.19272613525390625,0.22313714027404785,0.23758721351623535,0.19032907485961914,False,False,False,False
whileLoops_11.pgcl,11,0.025339841842651367,0.00037789344787597656,0.0,0.0,Sat,0.0,0.0,0.23073267936706543,0.0031621456146240234,0.23444509506225586,0.2601640224456787,Sat,0.0,0.0,0.29359960556030273,0.00374603271484375,0.29819393157958984,0.3239128589630127,0.23127985000610352,0.2944447994232178,False,False,False,False
whileLoops_12.pgcl,12,0.05599188804626465,0.0012180805206298828,0.0,0.0,Sat,0.0,0.0,0.33855366706848145,0.0026400089263916016,0.342540979385376,0.3997538089752197,Sat,0.0,0.0,0.1787574291229248,0.0021598339080810547,0.18148589134216309,0.23869872093200684,0.33989787101745605,0.17932415008544922,False,False,False,False
whileLoops_13.pgcl,13,0.03176403045654297,0.0006079673767089844,0.0,0.0,Sat,0.0,0.0,0.5003659725189209,0.004067182540893555,0.5052447319030762,0.5376198291778564,Sat,0.0,0.0,0.3965940475463867,0.0037539005279541016,0.4011728763580322,0.4335479736328125,0.5011746883392334,0.3974158763885498,False,False,False,False
whileLoops_14.pgcl,14,0.05704307556152344,0.0012691020965576172,0.0,0.0,Unsat,0.0,0.0,0.7072889804840088,0.00969696044921875,0.7183830738067627,0.776698112487793,Unsat,0.0,0.0,0.486605167388916,0.007003068923950195,0.4950270652770996,0.5533421039581299,0.7086830139160156,0.4880199432373047,False,False,False,False
whileLoops_15.pgcl,15,0.10985875129699707,0.0013968944549560547,0.0,0.0,Sat,0.0,0.0,1.8246655464172363,0.00457310676574707,1.832331895828247,1.943591833114624,Sat,0.0,0.0,0.9435074329376221,0.0038499832153320312,0.9483771324157715,1.0596370697021484,1.8277547359466553,0.9445240497589111,False,False,False,False
whileLoops_16.pgcl,16,0.03731989860534668,0.0008919239044189453,0.0,0.0,Unsat,0.0,0.0,0.5158126354217529,0.0031540393829345703,0.5198240280151367,0.5580389499664307,Unsat,0.0,0.0,0.5195071697235107,0.003765106201171875,0.5243887901306152,0.5626037120819092,0.5166680812835693,0.5206217765808105,False,False,False,False
whileLoops_17.pgcl,17,0.033557891845703125,0.0005807876586914062,0.0,0.0,Unsat,0.0,0.0,0.4184839725494385,0.003299713134765625,0.42265820503234863,0.45679807662963867,Unsat,0.0,0.0,0.30719900131225586,0.0025870800018310547,0.31070470809936523,0.3448445796966553,0.4193572998046875,0.30811595916748047,False,False,False,False
whileLoops_18.pgcl,18,0.037921905517578125,0.0009198188781738281,0.0,0.0,Sat,0.0,0.0,0.37470293045043945,0.003122091293334961,0.3787271976470947,0.417572021484375,Sat,0.0,0.0,0.3503458499908447,0.003181934356689453,0.35433292388916016,0.39317774772644043,0.37560319900512695,0.3511481285095215,False,False,False,False
whileLoops_19.pgcl,19,0.04049372673034668,0.0006361007690429688,0.0,0.0,Sat,0.0,0.0,0.48638916015625,0.002588987350463867,0.49001407623291016,0.5311450958251953,Sat,0.0,0.0,0.2935774326324463,0.0038340091705322266,0.2982499599456787,0.33938097953796387,0.4874229431152344,0.29441308975219727,False,False,False,False
whileLoops_20.pgcl,20,0.04581809043884277,0.0007038116455078125,0.0,0.0,Sat,0.0,0.0,0.48281168937683105,0.002995014190673828,0.4869818687438965,0.533505916595459,Sat,0.0,0.0,0.3405466079711914,0.003650188446044922,0.3451669216156006,0.3916909694671631,0.48398494720458984,0.34151506423950195,False,False,False,False
whileLoops_21.pgcl,21,0.04464316368103027,0.0007359981536865234,0.0,0.0,Unsat,0.0,0.0,0.4598405361175537,0.003434896469116211,0.46434712409973145,0.5097272396087646,Unsat,0.0,0.0,0.3685305118560791,0.002766132354736328,0.3722090721130371,0.4175891876220703,0.4609100818634033,0.36944007873535156,False,False,False,False
