Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
whileLoops_180.pgcl,false,60.12,2.081,63.811,54.633,1.027
whileLoops_181.pgcl,true,63.515,1.604,66.955,62.037,0.876
whileLoops_182.pgcl,false,72.957,1.438,76.32,59.726,1.333
whileLoops_183.pgcl,true,71.491,2.427,76.206,57.074,1.463
whileLoops_184.pgcl,false,78.975,2.132,83.636,66.405,1.493
whileLoops_185.pgcl,true,64.858,1.754,68.416,63.089,0.993
whileLoops_186.pgcl,false,73.183,1.91,76.943,71.113,1.021
whileLoops_187.pgcl,true,73.393,1.819,76.619,73.603,0.799
whileLoops_188.pgcl,false,58.432,1.535,61.593,58.667,0.686
whileLoops_189.pgcl,true,64.575,1.599,67.663,61.131,1.003
whileLoops_19.pgcl,true,1.209,0.301,3.256,2.293,0.176
whileLoops_190.pgcl,false,74.202,2.712,78.526,70.03999999999999,1.075
whileLoops_191.pgcl,true,75.455,1.659,78.957,70.424,1.18
whileLoops_192.pgcl,false,70.151,1.83,74.137,69.422,0.895
whileLoops_193.pgcl,true,74.163,1.63,77.539,68.235,1.238
whileLoops_194.pgcl,false,77.892,2.279,82.543,74.939,1.126
whileLoops_195.pgcl,true,68.863,2.062,72.896,64.842,1.017
whileLoops_196.pgcl,false,74.424,1.542,77.59700000000001,72.444,0.938
whileLoops_197.pgcl,true,82.236,1.713,85.708,74.428,1.229
whileLoops_198.pgcl,false,71.148,1.866,75.111,65.62,1.135
whileLoops_199.pgcl,true,67.27,2.753,72.41,65.245,0.874
whileLoops_2.pgcl,false,0.166,0.078,2.196,1.117,0.139
whileLoops_20.pgcl,false,1.587,0.219,3.123,2.186,0.163
whileLoops_200.pgcl,false,82.213,1.872,86.282,73.44200000000001,1.083
whileLoops_201.pgcl,true,78.897,2.519,83.423,73.497,1.126
whileLoops_202.pgcl,false,75.095,2.462,80.257,68.382,1.107
whileLoops_203.pgcl,true,76.412,2.231,80.425,75.616,0.91
whileLoops_204.pgcl,false,77.334,1.775,80.626,76.607,0.974
whileLoops_205.pgcl,true,80.274,1.842,83.775,79.491,0.957
whileLoops_206.pgcl,false,80.321,1.863,84.021,78.23,0.891
whileLoops_207.pgcl,true,79.543,1.7,82.876,78.324,0.9
whileLoops_208.pgcl,false,80.079,1.936,83.855,79.507,0.993
whileLoops_209.pgcl,true,76.617,2.048,80.365,76.69200000000001,0.921
whileLoops_21.pgcl,true,1.34,0.322,3.161,2.679,0.184
whileLoops_210.pgcl,false,85.362,2.729,89.74,76.325,1.333
whileLoops_211.pgcl,true,73.018,2.175,76.851,73.574,0.832
whileLoops_212.pgcl,false,85.32,1.784,88.654,85.844,0.845
whileLoops_213.pgcl,true,79.466,2.259,83.336,76.893,1.15
whileLoops_214.pgcl,false,82.63,1.91,86.334,80.485,1.037
whileLoops_215.pgcl,true,85.145,2.129,88.739,84.612,0.979
whileLoops_216.pgcl,false,94.255,2.652,99.12899999999999,86.339,1.445
whileLoops_217.pgcl,true,97.745,3.319,103.279,87.24,1.809
whileLoops_218.pgcl,false,96.401,4.459,103.549,80.73,1.71
