Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
assignments_84.pgcl,false,0.107,0.06,2.57,1.565,0.218
assignments_85.pgcl,true,0.045,0.059,1.861,1.344,0.165
assignments_86.pgcl,false,0.211,0.107,2.496,1.613,0.223
assignments_87.pgcl,false,0.095,0.079,2.515,1.623,0.231
assignments_88.pgcl,true,0.051,0.101,2.493,1.561,0.204
assignments_89.pgcl,false,0.036,0.098,1.849,1.479,0.203
assignments_90.pgcl,false,0.089,0.05,1.877,1.448,0.193
assignments_91.pgcl,true,0.091,0.048,2.043,1.493,0.181
assignments_92.pgcl,true,0.063,0.083,2.106,1.625,0.227
assignments_93.pgcl,false,0.053,0.098,1.832,1.389,0.186
assignments_94.pgcl,false,0.039,0.092,2.049,1.524,0.206
assignments_95.pgcl,false,0.049,0.105,1.926,1.513,0.199
assignments_96.pgcl,true,0.049,0.052,2.128,1.557,0.203
assignments_97.pgcl,true,0.082,0.081,2.091,1.611,0.221
assignments_98.pgcl,true,0.044,0.056,1.956,1.408,0.182
assignments_99.pgcl,true,0.064,0.063,1.997,1.448,0.188
assignments_100.pgcl,true,0.041,0.045,2.114,1.347,0.17
assignments_101.pgcl,true,0.127,0.071,1.852,1.449,0.175
assignments_102.pgcl,true,0.047,0.071,1.84,1.355,0.164
assignments_103.pgcl,false,0.061,0.067,1.831,1.387,0.163
assignments_104.pgcl,false,0.069,0.046,1.834,1.342,0.147
assignments_105.pgcl,false,0.057,0.043,1.893,1.358,0.163
assignments_106.pgcl,false,0.095,0.059,1.892,1.436,0.162
assignments_107.pgcl,true,0.047,0.055,1.88,1.31,0.156
assignments_108.pgcl,true,0.058,0.085,1.882,1.424,0.151
assignments_109.pgcl,true,0.066,0.056,1.884,1.434,0.152
assignments_110.pgcl,false,0.111,0.083,1.816,1.382,0.156
assignments_111.pgcl,false,0.061,0.057,1.849,1.344,0.154
assignments_112.pgcl,false,0.061,0.099,1.783,1.397,0.146
assignments_113.pgcl,true,0.058,0.045,1.799,1.292,0.147
assignments_114.pgcl,true,0.052,0.054,1.879,1.375,0.149
assignments_115.pgcl,true,0.057,0.048,1.887,1.373,0.151
assignments_116.pgcl,false,0.07,0.063,1.923,1.485,0.161
assignments_117.pgcl,false,0.064,0.051,1.86,1.37,0.157
assignments_118.pgcl,false,0.062,0.06,1.867,1.489,0.159
assignments_119.pgcl,true,0.069,0.073,1.926,1.416,0.166
assignments_120.pgcl,true,0.083,0.051,1.845,1.405,0.152
assignments_121.pgcl,true,0.06,0.072,1.958,1.404,0.16
assignments_122.pgcl,true,0.055,0.057,1.865,1.336,0.157
assignments_123.pgcl,false,0.05,0.057,1.863,1.36,0.157
assignments_124.pgcl,false,0.055,0.07,1.799,1.384,0.151
assignments_125.pgcl,true,0.065,0.065,1.795,1.409,0.15
assignments_126.pgcl,false,0.062,0.067,1.823,1.443,0.154
assignments_127.pgcl,true,0.061,0.07,1.813,1.36,0.15
assignments_128.pgcl,false,0.066,0.06,1.817,1.328,0.144
assignments_129.pgcl,true,0.051,0.068,1.88,1.403,0.15
assignments_130.pgcl,false,0.047,0.073,1.878,1.445,0.162
assignments_131.pgcl,false,0.044,0.047,1.818,1.336,0.148
