Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
nestedWhileLoops_1.pgcl,1,0.014501094818115234,7.724761962890625e-05,0.0003418922424316406,3.790855407714844e-05,0.00012111663818359375,Sat,0.039359092712402344,0.017913818359375,0.019216299057006836,0.01912999153137207,0.01898813247680664,7.867813110351562e-06,0.038214921951293945,0.11056995391845703,Sat,0.048371315002441406,0.004277944564819336,0.035825252532958984,0.035797834396362305,0.004560947418212891,7.867813110351562e-06,0.04039716720581055,0.10812854766845703,False,False,True,True
nestedWhileLoops_2.pgcl,2,0.0070240497589111,7.295608520507812e-05,0.0001578330993652,4.982948303222656e-05,0.0018842220306396,Sat,0.1667780876159668,0.0340631008148193,0.1297552585601806,0.129695177078247,0.0181999206542968,6.198883056640625e-06,0.148123025894165,0.3581554889678955,Sat,0.1243360042572021,0.0067410469055175,0.0717918872833252,0.0717430114746093,0.0032289028167724,7.152557373046875e-06,0.0750589370727539,0.2153272628784179,False,False,True,True
nestedWhileLoops_3.pgcl,3,0.0103230476379394,0.0001001358032226,0.0006461143493652,0.0001389980316162,0.0014200210571289,Unsat,0.1490697860717773,0.0241358280181884,0.0925130844116211,0.0924375057220459,0.019521951675415,1.621246337890625e-05,0.1122050285339355,0.2980437278747558,Unsat,0.0818250179290771,0.0144109725952148,0.1073658466339111,0.1072611808776855,0.0047497749328613,7.152557373046875e-06,0.1121540069580078,0.2210230827331543,False,False,True,True
nestedWhileLoops_4.pgcl,4,0.0097780227661132,0.0001280307769775,0.0006740093231201,0.0001201629638671,0.000472068786621,Sat,0.1210899353027343,0.0258128643035888,0.1680855751037597,0.1679630279541015,0.0148987770080566,7.152557373046875e-06,0.1831529140472412,0.3412308692932129,Sat,0.1391398906707763,0.0133569240570068,0.1247701644897461,0.1246809959411621,0.0029690265655517,5.960464477539063e-06,0.1279811859130859,0.2916531562805176,False,False,True,True
nestedWhileLoops_5.pgcl,5,0.0228137969970703,0.0001578330993652,0.0014400482177734,0.0001468658447265,0.0058441162109375,Unsat,0.1949949264526367,0.0416460037231445,0.2025742530822754,0.2024629116058349,0.0160648822784423,6.9141387939453125e-06,0.2188761234283447,0.4859259128570556,Unsat,0.2652192115783691,0.016517162322998,0.1575431823730468,0.1574318408966064,0.003127098083496,6.9141387939453125e-06,0.1616690158843994,0.4738142490386963,False,False,True,True
nestedWhileLoops_6.pgcl,6,0.011570930480957,0.000180959701538,0.0009021759033203,0.000192642211914,0.0024480819702148,Sat,0.136697769165039,0.018402099609375,0.1636190414428711,0.1634976863861084,0.0130200386047363,5.960464477539063e-06,0.1768150329589843,0.3472120761871338,Sat,0.7073478698730469,0.0145211219787597,0.1566870212554931,0.1565511226654052,0.0027790069580078,6.9141387939453125e-06,0.1596391201019287,0.8968052864074707,False,False,True,True
nestedWhileLoops_7.pgcl,7,0.015049934387207,0.0002110004425048,0.0013010501861572,0.0001847743988037,0.0014483928680419,Unsat,0.1532790660858154,0.0207879543304443,0.1892950534820556,0.18914794921875,0.015132188796997,6.9141387939453125e-06,0.2046089172363281,0.3968739509582519,Unsat,1.3150417804718018,0.0149800777435302,0.258976936340332,0.2588207721710205,0.0025389194488525,8.106231689453125e-06,0.2617089748382568,1.609928846359253,False,False,True,True
nestedWhileLoops_8.pgcl,8,0.0138807296752929,0.000237226486206,0.0017299652099609,0.0002470016479492,0.0008502006530761,Unsat,0.1592462062835693,0.0224552154541015,0.2071349620819091,0.2069644927978515,0.0132238864898681,7.152557373046875e-06,0.2205290794372558,0.4191782474517822,Unsat,0.4863789081573486,0.0353176593780517,0.3790211677551269,0.3788423538208008,0.0027780532836914,6.9141387939453125e-06,0.3819270133972168,0.9205713272094728,False,False,True,True
nestedWhileLoops_9.pgcl,9,0.016413927078247,0.000262975692749,0.002213716506958,0.0001540184020996,0.000864028930664,Sat,0.5159928798675537,0.020266056060791,0.2081339359283447,0.207944631576538,0.0111658573150634,7.152557373046875e-06,0.2194850444793701,0.7756569385528564,Sat,0.7310941219329834,0.5574851036071777,0.3999671936035156,0.3997693061828613,0.0025720596313476,5.7220458984375e-06,0.402698278427124,1.7111904621124268,False,False,True,True
nestedWhileLoops_10.pgcl,10,0.0177109241485595,0.000291109085083,0.0028779506683349,0.0002627372741699,0.001136302947998,Sat,0.3671512603759765,0.024242877960205,0.2600877285003662,0.2598891258239746,0.0133969783782958,7.152557373046875e-06,0.2736666202545166,0.6873419284820557,Sat,0.8275489807128906,0.6317272186279297,0.3424689769744873,0.3422467708587646,0.0026149749755859,5.7220458984375e-06,0.3522322177886963,1.833789587020874,False,False,True,True
nestedWhileLoops_11.pgcl,11,0.0222578048706054,0.0003199577331542,0.0035240650177001,0.000201940536499,0.0012750625610351,Sat,0.5566079616546631,0.0251171588897705,0.2548208236694336,0.2545950412750244,0.013960838317871,7.152557373046875e-06,0.2689480781555176,0.87825608253479,Sat,3.9752719402313232,0.0987179279327392,0.3345370292663574,0.3342454433441162,0.0022399425506591,7.152557373046875e-06,0.3369569778442383,4.43852972984314,False,False,True,True
nestedWhileLoops_12.pgcl,12,0.0197570323944091,0.0003478527069091,0.0051741600036621,0.0002849102020263,0.0046889781951904,Unsat,0.369715929031372,0.0247778892517089,0.310560941696167,0.3103044033050537,0.0123791694641113,6.9141387939453125e-06,0.323106050491333,0.7478578090667725,Unsat,0.8425378799438477,0.0279421806335449,0.5791442394256592,0.5788421630859375,0.0024030208587646,5.960464477539063e-06,0.5817179679870605,1.4824559688568115,False,False,True,True
