Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantSolverTime,z3constraintSolverTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5checkSatTotalTime,toolTimecvc5,z3wpTime,cvc5wpTime,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
nestedWhileLoops_1.pgcl,1,0.027835845947265625,5.316734313964844e-05,0.0,0.0,Sat,0.0,0.0,0.0336911678314209,0.004625082015991211,0.0385441780090332,0.06643509864807129,Sat,0.0,0.0,0.013607025146484375,0.002151966094970703,0.015861988067626953,0.04375290870666504,0.03377199172973633,0.013679981231689453,False,False,False,False
nestedWhileLoops_2.pgcl,2,0.007662773132324219,8.893013000488281e-05,0.0,0.0,Sat,0.0,0.0,0.04414510726928711,0.0025489330291748047,0.046835899353027344,0.05458974838256836,Sat,0.0,0.0,0.02361321449279785,0.0028281211853027344,0.02661299705505371,0.03436684608459473,0.044235944747924805,0.02374100685119629,False,False,False,False
nestedWhileLoops_3.pgcl,3,0.009058713912963867,0.00012683868408203125,0.0,0.0,Unsat,0.0,0.0,0.05505037307739258,0.0031881332397460938,0.05839371681213379,0.0675814151763916,Unsat,0.0,0.0,0.037212371826171875,0.003657817840576172,0.041030168533325195,0.05021786689758301,0.05517077445983887,0.037338972091674805,False,False,False,False
nestedWhileLoops_4.pgcl,4,0.015324831008911133,0.0001621246337890625,0.0,0.0,Sat,0.0,0.0,0.09122109413146973,0.0044291019439697266,0.09585404396057129,0.11134195327758789,Sat,0.0,0.0,0.07515573501586914,0.0026481151580810547,0.07806777954101562,0.09355568885803223,0.09137320518493652,0.07537198066711426,False,False,False,False
nestedWhileLoops_5.pgcl,5,0.02316427230834961,0.00020194053649902344,0.0,0.0,Unsat,0.0,0.0,0.14129161834716797,0.0030672550201416016,0.144913911819458,0.16828107833862305,Unsat,0.0,0.0,0.07161712646484375,0.0024671554565429688,0.07440185546875,0.09776902198791504,0.14171314239501953,0.0718989372253418,False,False,False,False
nestedWhileLoops_6.pgcl,6,0.02107715606689453,0.00023603439331054688,0.0,0.0,Sat,0.0,0.0,0.1183478832244873,0.003679990768432617,0.1225578784942627,0.14387297630310059,Sat,0.0,0.0,0.09461832046508789,0.002351999282836914,0.09729385375976562,0.11860895156860352,0.11856484413146973,0.0949089527130127,False,False,False,False
nestedWhileLoops_7.pgcl,7,0.021841049194335938,0.0002779960632324219,0.0,0.0,Unsat,0.0,0.0,0.16921567916870117,0.0025758743286132812,0.17232370376586914,0.1944437026977539,Unsat,0.0,0.0,0.10686969757080078,0.0032901763916015625,0.11052107810974121,0.13264107704162598,0.1695878505706787,0.10715413093566895,False,False,False,False
nestedWhileLoops_8.pgcl,8,0.0455632209777832,0.0013468265533447266,0.0,0.0,Unsat,0.0,0.0,0.2661280632019043,0.0025472640991210938,0.2692148685455322,0.3161280155181885,Unsat,0.0,0.0,0.12283611297607422,0.0022411346435546875,0.12549805641174316,0.17241120338439941,0.26650500297546387,0.12322497367858887,False,False,False,False
nestedWhileLoops_9.pgcl,9,0.021709918975830078,0.0003466606140136719,0.0,0.0,Sat,0.0,0.0,0.2978177070617676,0.0031800270080566406,0.30179309844970703,0.3238520622253418,Sat,0.0,0.0,0.2160024642944336,0.0021729469299316406,0.21851587295532227,0.24057483673095703,0.298098087310791,0.21631097793579102,False,False,False,False
nestedWhileLoops_10.pgcl,10,0.041960954666137695,0.0006489753723144531,0.0,0.0,Sat,0.0,0.0,0.42978572845458984,0.0050220489501953125,0.43573975563049316,0.4783518314361572,Sat,0.0,0.0,0.23001790046691895,0.009207010269165039,0.25859594345092773,0.3012080192565918,0.430330753326416,0.2303910255432129,False,False,False,False
nestedWhileLoops_11.pgcl,11,0.0281369686126709,0.00044608116149902344,0.0,0.0,Sat,0.0,0.0,0.3242037296295166,0.0034461021423339844,0.32823896408081055,0.3568239212036133,Sat,0.0,0.0,0.2787191867828369,0.003509998321533203,0.2832319736480713,0.311816930770874,0.3246498107910156,0.2794151306152344,False,False,False,False
nestedWhileLoops_12.pgcl,12,0.06186795234680176,0.0006341934204101562,0.0,0.0,Unsat,0.0,0.0,0.40514397621154785,0.00441288948059082,0.41081762313842773,0.47332262992858887,Unsat,0.0,0.0,0.2810392379760742,0.0038383007049560547,0.28557419776916504,0.34807920455932617,0.405864953994751,0.28156518936157227,False,False,False,False
