Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
nestedWhileLoops_1.pgcl,1,0.022879838943481445,9.298324584960938e-05,0.0008690357208251953,0.0007650852203369141,0.0011839866638183594,Sat,0.28972887992858887,0.05257225036621094,0.04572796821594238,0.045660972595214844,0.011031866073608398,3.3855438232421875e-05,0.056970834732055664,0.4250667095184326,Sat,0.11999320983886719,0.00878000259399414,2.6640560626983643,2.664030075073242,0.01928424835205078,5.9604644775390625e-06,2.6835110187530518,2.8380789756774902,False,False,True,True
nestedWhileLoops_2.pgcl,2,0.007024049758911133,7.295608520507812e-05,0.00015783309936523438,4.982948303222656e-05,0.0018842220306396484,Sat,0.1667780876159668,0.034063100814819336,0.12975525856018066,0.12969517707824707,0.018199920654296875,6.198883056640625e-06,0.14812302589416504,0.3581554889678955,Sat,0.12433600425720215,0.006741046905517578,0.0717918872833252,0.07174301147460938,0.003228902816772461,7.152557373046875e-06,0.0750589370727539,0.21532726287841797,False,False,True,True
nestedWhileLoops_3.pgcl,3,0.010323047637939453,0.00010013580322265625,0.0006461143493652344,0.00013899803161621094,0.0014200210571289062,Unsat,0.14906978607177734,0.024135828018188477,0.0925130844116211,0.0924375057220459,0.01952195167541504,1.621246337890625e-05,0.11220502853393555,0.29804372787475586,Unsat,0.08182501792907715,0.014410972595214844,0.10736584663391113,0.10726118087768555,0.004749774932861328,7.152557373046875e-06,0.11215400695800781,0.2210230827331543,False,False,True,True
nestedWhileLoops_4.pgcl,4,0.009778022766113281,0.00012803077697753906,0.0006740093231201172,0.0001201629638671875,0.00047206878662109375,Sat,0.12108993530273438,0.025812864303588867,0.16808557510375977,0.16796302795410156,0.01489877700805664,7.152557373046875e-06,0.1831529140472412,0.3412308692932129,Sat,0.13913989067077637,0.013356924057006836,0.1247701644897461,0.12468099594116211,0.002969026565551758,5.9604644775390625e-06,0.12798118591308594,0.2916531562805176,False,False,True,True
nestedWhileLoops_5.pgcl,5,0.022813796997070312,0.00015783309936523438,0.0014400482177734375,0.0001468658447265625,0.0058441162109375,Unsat,0.19499492645263672,0.04164600372314453,0.2025742530822754,0.20246291160583496,0.016064882278442383,6.9141387939453125e-06,0.21887612342834473,0.48592591285705566,Unsat,0.26521921157836914,0.016517162322998047,0.15754318237304688,0.15743184089660645,0.0031270980834960938,6.9141387939453125e-06,0.16166901588439941,0.4738142490386963,False,False,True,True
nestedWhileLoops_6.pgcl,6,0.011570930480957031,0.00018095970153808594,0.0009021759033203125,0.0001926422119140625,0.0024480819702148438,Sat,0.13669776916503906,0.018402099609375,0.1636190414428711,0.1634976863861084,0.013020038604736328,5.9604644775390625e-06,0.17681503295898438,0.3472120761871338,Sat,0.7073478698730469,0.014521121978759766,0.15668702125549316,0.15655112266540527,0.0027790069580078125,6.9141387939453125e-06,0.1596391201019287,0.8968052864074707,False,False,True,True
nestedWhileLoops_7.pgcl,7,0.015049934387207031,0.0002110004425048828,0.0013010501861572266,0.00018477439880371094,0.0014483928680419922,Unsat,0.15327906608581543,0.020787954330444336,0.18929505348205566,0.18914794921875,0.01513218879699707,6.9141387939453125e-06,0.20460891723632812,0.39687395095825195,Unsat,1.3150417804718018,0.014980077743530273,0.25897693634033203,0.2588207721710205,0.002538919448852539,8.106231689453125e-06,0.26170897483825684,1.609928846359253,False,False,True,True
nestedWhileLoops_8.pgcl,8,0.013880729675292969,0.0002372264862060547,0.0017299652099609375,0.00024700164794921875,0.0008502006530761719,Unsat,0.15924620628356934,0.022455215454101562,0.20713496208190918,0.20696449279785156,0.013223886489868164,7.152557373046875e-06,0.22052907943725586,0.4191782474517822,Unsat,0.48637890815734863,0.03531765937805176,0.37902116775512695,0.3788423538208008,0.0027780532836914062,6.9141387939453125e-06,0.3819270133972168,0.9205713272094727,False,False,True,True
nestedWhileLoops_9.pgcl,9,0.01641392707824707,0.00026297569274902344,0.002213716506958008,0.00015401840209960938,0.0008640289306640625,Sat,0.5159928798675537,0.020266056060791016,0.20813393592834473,0.20794463157653809,0.011165857315063477,7.152557373046875e-06,0.21948504447937012,0.7756569385528564,Sat,0.7310941219329834,0.5574851036071777,0.3999671936035156,0.39976930618286133,0.0025720596313476562,5.7220458984375e-06,0.402698278427124,1.7111904621124268,False,False,True,True
nestedWhileLoops_10.pgcl,10,0.01771092414855957,0.0002911090850830078,0.002877950668334961,0.0002627372741699219,0.0011363029479980469,Sat,0.36715126037597656,0.024242877960205078,0.2600877285003662,0.2598891258239746,0.013396978378295898,7.152557373046875e-06,0.2736666202545166,0.6873419284820557,Sat,0.8275489807128906,0.6317272186279297,0.3424689769744873,0.34224677085876465,0.0026149749755859375,5.7220458984375e-06,0.3522322177886963,1.833789587020874,False,False,True,True
