Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
sprdwalk.pgcl,1,0.030238866806030273,0.00015616416931152344,0.0,0.0,0.00036025047302246094,Sat,0.0,0.0,0.01957988739013672,0.019559383392333984,0.011776208877563477,1.9073486328125e-06,0.03150296211242676,0.06226205825805664,Sat,0.0,0.0,0.03739786148071289,0.037368059158325195,0.0043981075286865234,1.9073486328125e-06,0.04183006286621094,0.07258915901184082,False,False,False,False
rdspeed.pgcl,1,0.016232013702392578,0.0001468658447265625,0.0,0.0,0.0010018348693847656,Sat,0.0,0.0,0.03153729438781738,0.03150486946105957,0.013335943222045898,1.6689300537109375e-06,0.04491710662841797,0.0623011589050293,Sat,0.0,0.0,0.1385350227355957,0.13846969604492188,0.0064580440521240234,4.0531158447265625e-06,0.14513611793518066,0.162520170211792,False,False,False,False
race.pgcl,1,0.03096294403076172,0.00021910667419433594,0.0,0.0,0.002777099609375,Sat,0.0,0.0,0.03937816619873047,0.039337873458862305,0.013573169708251953,1.9073486328125e-06,0.05299496650695801,0.08695578575134277,Sat,0.0,0.0,0.10342025756835938,0.1033639907836914,0.003638029098510742,2.6226043701171875e-06,0.10709500312805176,0.14105582237243652,False,False,False,False
prspeed.pgcl,1,0.01733088493347168,0.0002429485321044922,0.0,0.0,0.0005803108215332031,Sat,0.0,0.0,0.03787493705749512,0.03783607482910156,0.02100682258605957,1.9073486328125e-06,0.05923318862915039,0.07738733291625977,Sat,0.0,0.0,0.24802517890930176,0.24794530868530273,0.009550094604492188,2.86102294921875e-06,0.2578849792480469,0.27603912353515625,False,False,False,False
